title,release_year,duration,tconst,averageRating
Ophelia,2018,106,tt5690810,6.5
Seven Pounds,2008,123,tt0814314,7.6
She's Out of My League,2010,106,tt0815236,6.4
Snow Day,2000,89,tt0184907,5.1
Star Trek,2009,128,tt0796366,7.9
Stuart Little,1999,85,tt0164912,6.0
Sword of Trust,2019,89,tt8484012,6.3
Talladega Nights: The Ballad of Ricky Bobby,2006,108,tt0415306,6.6
The American,2010,105,tt1440728,6.3
The Best of Enemies,2019,133,tt4807408,7.3
The Game,1997,129,tt0119174,7.7
The Karate Kid,1984,127,tt0087538,7.3
The Karate Kid Part II,1986,113,tt0091326,6.1
The Karate Kid Part III,1989,112,tt0097647,5.3
The Life of David Gale,2003,130,tt0289992,7.5
The Long Riders,1980,100,tt0081071,6.9
The Queen,2006,103,tt0436697,7.3
The Strangers,2008,85,tt0482606,6.1
The Sum of All Fears,2002,124,tt0164184,6.4
The Tourist,2010,103,tt1243957,6.0
Underworld,2003,121,tt0320691,7.0
Underworld: Awakening,2012,89,tt1496025,6.3
Underworld: Rise of the Lycans,2009,92,tt0834001,6.5
Voiceless,2020,112,tt13149312,7.1
What Dreams May Come,1998,114,tt0120889,6.9
Why Do Fools Fall in Love,1998,116,tt0123324,6.3
America: The Motion Picture,2021,98,tt6733874,5.6
Lying and Stealing,2019,100,tt7558302,5.4
Mommy Issues,2021,90,tt14880428,5.3
Prime Time,2021,92,tt11460976,5.2
Killing Them Softly,2012,97,tt1764234,6.2
Wonder Boy,2019,83,tt9176600,6.7
Here Comes the Rain,2010,101,tt2091312,6.5
The Ice Road,2021,109,tt3758814,5.6
Sisters on Track,2021,97,tt9337574,5.9
The Seventh Day,2021,87,tt11263022,4.5
Good on Paper,2021,94,tt8231668,5.6
Murder by the Coast,2021,89,tt13323092,6.5
The House of Flowers: The Movie,2021,88,tt14549558,5.5
#Selfie,2014,125,tt3102208,6.0
#Selfie 69,2016,119,tt4796634,6.1
Love Is a Story,2015,105,tt3764686,6.0
Mobile Suit Gundam II: Soldiers of Sorrow,1981,133,tt0159510,7.2
Mobile Suit Gundam III: Encounters in Space,1982,140,tt0159511,7.7
Mobile Suit Gundam: Char's Counterattack,1988,120,tt0095262,7.3
Fatherhood,2021,111,tt4733624,6.6
Jagame Thandhiram,2021,159,tt10661848,5.8
Kambili: The Whole 30 Yards,2020,119,tt11831084,6.9
Mobile Suit Gundam I,1981,139,tt0159509,7.1
Fan Girl,2020,101,tt11091664,6.5
Red Snow,2019,96,tt10537484,5.3
Red Snow,2019,96,tt6670074,4.6
Silver Linings Playbook,2012,122,tt1045658,7.7
Lowriders,2016,98,tt1366338,5.7
Security,2021,119,tt11892916,5.0
Silver Skates,2020,138,tt10525672,7.1
FTA,1972,104,tt0068562,6.3
Life of Crime,2013,101,tt1663207,5.8
Rogue Warfare: Death of a Nation,2020,99,tt7983744,3.3
Sir! No Sir!,2005,84,tt0469589,7.6
Picture a Scientist,2020,97,tt11906032,7.8
The Devil Below,2021,89,tt7646322,4.3
Sarbath,2021,113,tt11143434,5.6
Skater Girl,2021,110,tt6964940,6.6
Wish Dragon,2021,102,tt5562070,7.2
A Haunted House 2,2014,86,tt2828996,4.6
Blind Intersections,2012,91,tt1918638,6.7
Camellia Sisters,2021,117,tt14023894,4.7
Copenhagen,2014,99,tt2459156,7.0
Awake,2021,97,tt10418662,4.9
Confusion Na Wa,2013,106,tt3012648,7.0
Vampire Academy,2014,104,tt1686821,5.4
A Private War,2018,110,tt2368254,6.7
Small Chops,2020,98,tt11822492,3.1
Breaking Boundaries: The Science Of Our Planet,2021,74,tt14539726,7.8
Sweet & Sour,2021,103,tt14599938,6.7
Trippin' with the Kandasamys,2021,94,tt14611368,5.1
Xtreme,2021,112,tt11658120,5.8
Dancing Queens,2021,111,tt13032716,5.7
From Stress to Happiness,2020,58,tt13079086,6.2
Myriam Fares: The Journey,2021,72,tt14773250,2.2
2 Hearts,2020,101,tt5616176,6.2
A Perfect Ending,2012,110,tt1823059,5.6
American Outlaws,2001,94,tt0244000,5.9
And Then Came Lola,2009,70,tt1123894,3.9
Battlefield Earth,2000,118,tt0185183,2.5
Bliss,1997,103,tt0118742,6.0
Carnaval,2021,95,tt14074470,4.0
Cloudburst,2011,93,tt1466054,7.2
Cradle 2 the Grave,2003,101,tt0306685,5.8
Domestic Disturbance,2001,89,tt0249478,5.6
Dream/Killer,2015,109,tt4504438,7.4
Felon,2008,104,tt1117385,7.4
Flipped,2010,90,tt0817177,7.7
Fools Rush In,1997,109,tt0119141,6.1
Gold Statue,2019,145,tt10377292,6.5
I Am Sam,2001,132,tt0277027,7.6
Love Jones,1997,109,tt0119572,7.3
Million Dollar Baby,2004,133,tt0405159,8.1
Mosquita y Mari,2012,85,tt1978480,6.3
Ninja Assassin,2009,99,tt1186367,6.3
Starsky & Hutch,2004,101,tt0335438,6.1
Streets of Fire,1984,94,tt0088194,6.7
Swordfish,2001,99,tt0244244,6.5
The Four Seasons,1981,108,tt0082405,6.8
The Girl King,2015,106,tt1254322,5.8
The Interpreter,2005,128,tt0373926,6.4
The Meddler,2015,104,tt4501454,6.3
The Mirror Has Two Faces,1996,127,tt0117057,6.6
The Outlaw Josey Wales,1976,136,tt0075029,7.8
The Wedding Guest,2018,97,tt7645780,5.8
Welcome Home,2018,97,tt6829180,5.2
One Lagos Night,2021,103,tt14211236,6.7
Collateral Beauty,2016,97,tt4682786,6.7
Blue Miracle,2021,97,tt7084386,6.6
Ghost Lab,2021,118,tt13446126,5.2
The Day I lost My Shadow,2018,91,tt8900142,6.1
Baggio: The Divine Ponytail,2021,92,tt14025788,6.1
Nail Bomber: Manhunt,2021,73,tt12939812,6.3
A Place in the Stars,2014,110,tt3522136,6.2
Home,2015,94,tt2224026,6.6
Home,2015,94,tt5884960,8.5
Army of the Dead,2021,148,tt0993840,5.7
Strain,2020,107,tt13409790,5.7
Asmaa,2011,92,tt1826603,8.1
Sabotage,2014,109,tt1742334,5.7
Small Town Crime,2017,92,tt5751998,6.6
The Last Days,1998,87,tt0174852,7.9
Amy Tan: Unintended Memoir,2021,101,tt10393074,7.8
Sardar Ka Grandson,2021,140,tt11213600,4.2
Sleight,2016,89,tt4573516,5.9
Cinema Bandi,2021,99,tt14554338,7.9
Ferry,2021,107,tt14217100,7.0
I Am All Girls,2021,107,tt9013182,5.9
Table Manners,2018,104,tt7385538,5.1
The Woman in the Window,2021,102,tt6111574,5.7
Layer Cake,2004,105,tt0375912,7.3
Oxygen,2021,102,tt6341832,6.5
Dear Affy,2020,126,tt14928724,5.2
Illegal Woman,2020,119,tt10101806,6.2
Deadly Switch,2019,86,tt8354582,4.5
Nayattu,2021,122,tt11604676,8.1
Sleepless,2017,95,tt2072233,5.6
Unrest,2017,97,tt3268850,7.5
Unrest,2017,97,tt7290740,6.3
And Tomorrow the Entire World,2020,112,tt7716120,6.0
Dead Man Down,2013,118,tt2101341,6.4
Framing John DeLorean,2019,109,tt6256978,6.5
The Clovehitch Killer,2018,109,tt6269368,6.5
Aliens Stole My Body,2020,88,tt12517908,3.5
Best of the Best,1989,97,tt0096913,6.4
Due Date,2010,95,tt1231583,6.5
Green Zone,2010,115,tt0947810,6.8
Hachi: A Dog's Tale,2009,93,tt1028532,8.1
JT LeRoy,2018,109,tt5460522,5.4
Madagascar 3: Europe's Most Wanted,2012,96,tt1277953,6.8
Mystic River,2003,138,tt0327056,7.9
Never Back Down,2008,113,tt1023111,6.5
Stargate,1994,121,tt0111282,7.0
State of Play,2009,127,tt0473705,7.1
Swiped,2018,94,tt4867110,3.1
The Darkest Hour,2011,89,tt1093357,4.9
The Lovely Bones,2009,136,tt0380510,6.6
The Sweetest Thing,2002,89,tt0253867,5.1
The Whole Nine Yards,2000,99,tt0190138,6.7
The Whole Truth,2016,93,tt3503406,6.2
Under Siege,1992,102,tt0105690,6.5
Zack and Miri Make a Porno,2008,101,tt1007028,6.5
Seven,2019,113,tt12553430,7.2
Seven,2019,113,tt9165458,5.2
The Mitchells vs. The Machines,2021,114,tt7979580,7.6
The Strangers: Prey at Night,2018,85,tt1285009,5.2
Things Heard & Seen,2021,121,tt10962368,5.3
Get the Grift,2021,95,tt14371060,5.3
Battle: Los Angeles,2011,116,tt1217613,5.7
Between Worlds,2018,91,tt7295450,4.0
Dedemin Fisi,2016,101,tt5191238,5.6
Deliha,2014,102,tt4003066,4.6
Dügün Dernek 2: Sünnet,2015,107,tt5114588,6.3
G.O.R.A,2004,123,tt0384116,8.0
Hayat Öpücügü,2015,98,tt5036442,5.9
Kara Bela,2015,101,tt4974684,6.7
Niyazi Gül Dörtnala,2015,102,tt4505260,4.5
This Lady Called Life,2020,120,tt12282600,7.0
Vizontele,2001,106,tt0270053,8.0
HOMUNCULUS,2021,116,tt14404280,5.5
Searching For Sheela,2021,58,tt14167424,4.3
Stowaway,2021,116,tt9203694,5.6
Oloibiri,2015,86,tt4452274,5.3
Free to Play,2014,76,tt3203290,7.6
Miss Sloane,2016,132,tt4540710,7.5
American Me,1992,126,tt0103671,7.1
Delhi Belly,2011,101,tt1934231,7.5
Jaane Tu... Ya Jaane Na,2008,147,tt0473367,7.4
Peepli Live,2010,109,tt1447508,7.4
Ajeeb Daastaans,2021,142,tt14091818,6.7
Crimson Peak,2015,119,tt2554274,6.5
Doctor Bello,2013,96,tt2723358,4.8
Four Sisters Before the Wedding,2020,116,tt11867144,6.1
Into the Beat,2020,102,tt10662234,5.3
Rush,2013,123,tt1979320,8.1
The Zookeeper's Wife,2017,127,tt1730768,7.0
Time Trap,2017,88,tt4815122,6.2
Dark City Beneath the Beat,2020,65,tt11916314,6.7
Only Mine,2019,88,tt9271164,4.7
Ride or Die,2021,143,tt14164234,5.6
Ride or Die,2021,143,tt7866320,3.1
The Master,2012,137,tt1560747,7.1
Zoot Suit,1981,103,tt0083365,6.7
The Soul,2021,130,tt13598976,6.6
Why Did You Kill Me?,2021,84,tt14318430,5.6
Ojukokoro: Greed,2016,108,tt6660922,6.8
Roohi,2021,133,tt10098288,4.3
Thunder Force,2021,107,tt10121392,4.5
Story of Kale: When Someone's in Love,2020,78,tt13081264,6.4
Coded Bias,2020,86,tt11394170,6.7
Mandela,2021,140,tt10687070,8.4
The Fisherman's Diary,2020,143,tt13297136,6.4
What Lies Below,2020,88,tt9264728,4.4
Accepted,2006,93,tt0384793,6.4
Air Strike,2018,97,tt4743226,3.2
Cross: Rise of the Villains,2019,100,tt6197400,1.9
God Calling,2018,120,tt9680512,5.9
Irul,2021,91,tt13103212,5.8
Just Say Yes,2021,98,tt12154638,4.5
Madame Claude,2021,113,tt10307724,5.4
Wild Child,2008,98,tt1024255,6.1
Woody Woodpecker,2017,91,tt2114504,4.1
2012,2009,158,tt1190080,5.8
3 Idiots,2009,164,tt1187043,8.4
Ferrari Ki Sawaari,2012,133,tt2122340,6.4
Ibrahim a Fate to Define,2019,75,tt10777716,7.5
Insidious,2010,103,tt1591095,6.8
Into the Grizzly Maze,2015,90,tt1694021,5.3
Kingsglaive: Final Fantasy XV,2016,116,tt5595168,6.7
Legally Blonde,2001,96,tt0250494,6.4
Maximum Risk,1996,101,tt0117011,5.5
My Fair Lady,1964,173,tt0058385,7.8
S.W.A.T.: Under Siege,2017,89,tt6014472,4.6
Seven Souls in the Skull Castle: Season Flower,2017,181,tt15127876,7.0
Starship Troopers: Traitor of Mars,2017,88,tt6977240,5.5
Takers,2010,107,tt1135084,6.2
Tersanjung the Movie,2021,114,tt11668994,5.9
The Knight and the Princess,2019,96,tt10963790,5.6
The Pianist,2002,149,tt0253474,8.5
The Stepfather,2009,102,tt0814335,5.5
Universal Soldier: The Return,1999,83,tt0176269,4.2
Wazir,2016,98,tt0315642,7.1
White Boy,2017,83,tt5635638,7.2
Yes Man,2008,104,tt1068680,6.8
At Eternity's Gate,2018,111,tt6938828,6.9
Not a Game,2020,98,tt11843712,5.6
7 Yards: The Chris Norton Story,2021,93,tt12439210,7.8
Mandela: Long Walk to Freedom,2013,141,tt2304771,7.1
Lawless,2012,116,tt1212450,7.2
A Week Away,2021,98,tt11388278,5.7
Bad Trip,2021,87,tt9684220,6.5
Black Is Beltza,2018,87,tt8512986,5.8
Croupier,1998,95,tt0159382,7.0
Ni de coña,2020,97,tt13167556,2.8
Pagglait,2021,114,tt11142762,6.9
Caught by a Wave,2021,100,tt12013758,5.8
Secret Magic Control Agency,2021,105,tt13932162,6.2
Seaspiracy,2021,90,tt14152756,8.1
Philomena,2013,98,tt2431286,7.6
Any Crybabies Around?,2020,108,tt13082008,6.0
Hospital,2020,90,tt14288764,3.1
Jiu Jitsu,2020,102,tt9624766,2.9
Who's the Boss,2020,106,tt13370858,5.7
Deadly Illusions,2021,115,tt7897330,3.7
Skylines,2020,113,tt9387250,4.7
Catch.er,2017,80,tt8607728,4.6
Get on Up,2014,139,tt2473602,6.9
Savages,2012,131,tt1615065,6.4
C/O Kaadhal,2021,131,tt11803618,7.6
The BFG,2016,118,tt3691740,6.3
The Last Blockbuster,2020,87,tt8704802,6.7
Audrey,2020,101,tt10731386,7.1
Çarsi Pazar,2015,97,tt4324242,5.2
Paper Lives,2021,97,tt13045890,6.6
Romantik Komedi,2010,110,tt1587263,5.3
YES DAY,2021,90,tt8521876,5.7
Generasi 90an: Melankolia,2020,94,tt11835236,5.6
The Block Island Sound,2020,99,tt8747160,5.3
Aelay,2021,151,tt10275546,7.0
Fate of Alakada,2020,113,tt11829884,6.9
Sentinelle,2021,81,tt11734264,4.8
Mariposa,2020,116,tt11470064,6.8
Parker,2013,119,tt1904996,6.2
Safe Haven,2013,116,tt1702439,6.6
Moxie,2021,112,tt6432466,6.7
Black or White,2014,121,tt2883434,6.6
Indoo Ki Jawani,2020,115,tt11112526,3.3
Biggie: I Got a Story to Tell,2021,98,tt14058484,6.8
Connected,2021,42,tt2311862,7.1
Dances with Wolves,1990,181,tt0099348,8.0
How to Be Really Bad,2018,100,tt5571754,6.2
Rain Man,1988,134,tt0095953,8.0
Tenacious D in The Pick of Destiny,2006,94,tt0365830,6.8
Captain Fantastic,2016,119,tt3553976,7.8
Crazy About Her,2021,107,tt11698630,6.6
Fuga,2006,112,tt0442236,6.3
No Escape,2015,103,tt1781922,6.7
Our Idiot Brother,2011,90,tt1637706,6.4
The Girl on the Train,2021,120,tt8907992,4.4
Tony Manero,2008,97,tt1223975,6.8
