tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating
tt0287048,Trigger Happy,2001,100,"Comedy,Drama",7.2
tt0340103,Exorcism,2003,98,"Horror,Thriller",2.2
tt0205418,The Smokers,2000,96,Thriller,2.9
tt1688070,Mon pote,2010,105,"Comedy,Crime,Drama",6.0
tt0140317,Kruglyanskiy most,1989,81,"Drama,War",7.4
tt0118204,The 8-Tomb Village,1996,126,Mystery,6.4
tt4158620,Mystery at Shark Beach,2013,49,Documentary,4.6
tt10449052,No Man's Land,2020,114,"Action,Adventure,Thriller",5.3
tt1187042,Grindstone Road,2008,93,"Horror,Mystery,Thriller",4.5
tt15739928,Dangerous Snow Day,2021,90,Thriller,5.9
tt0036398,Submarine Base,1943,65,Drama,4.4
tt9461496,Anaganaga O Premakatha,2018,125,Drama,5.5
tt0050554,Itohan monogatari,1957,82,Drama,5.0
tt0211737,From Today Until Tomorrow,1997,62,"Comedy,Music",7.3
tt0064593,The Virgin's Bed,1969,114,"Comedy,Drama,Fantasy",6.2
tt0048337,A Man Called Peter,1955,119,"Biography,Drama,Family",7.1
tt10474784,Third World,2022,81,"Adventure,Drama,Fantasy",5.8
tt2445554,Bonzo,2013,76,"Drama,Mystery,Thriller",5.0
tt6714510,We Are the Geordies,2020,91,Documentary,9.1
tt8004966,Joaquin Sorolla: Journeys of Light,2017,60,Documentary,7.6
tt0076647,Réquiem por un empleado,1978,82,Comedy,5.1
tt1753521,Blood Money,2012,109,"Action,Thriller",3.2
tt1462553,La belle visite,2010,80,"Biography,Documentary,Drama",8.1
tt0085370,Entre Nous,1983,110,"Biography,Drama,War",7.1
tt0121726,Seinerzeit zu meiner Zeit,1944,90,Comedy,9.8
tt4335954,My Birthday Song,2018,95,Thriller,5.5
tt0403913,Butterfly in Grey,2002,104,Drama,6.6
tt1352720,Ingredients,2009,73,Documentary,6.9
tt1185420,Dostana,2008,145,"Comedy,Drama,Romance",6.5
tt0218619,Soul Survivors,2001,84,"Horror,Mystery,Thriller",3.9
tt9139412,El ummar,2018,77,Horror,2.8
tt4210112,Nakom,2016,90,Drama,6.8
tt4863016,Habib Al-Ardh,2015,129,"Biography,Drama",7.2
tt1664034,Slaughter Weekend,2010,81,"Comedy,Horror",4.2
tt0067781,"Ivanhoe, the Norman Swordsman",1971,99,Adventure,4.2
tt2087989,The Tell-Tale Heart,2016,81,Thriller,3.4
tt2255851,"Inshallah, Kashmir",2012,82,Documentary,6.9
tt0123067,Farlig leg,1990,90,"Romance,Thriller",4.5
tt0119340,Good Deeds,1997,83,Comedy,5.3
tt3587050,Ladies First,2014,80,"Comedy,Documentary",7.0
tt0079870,Lo scugnizzo,1979,105,"Action,Comedy,Drama",5.3
tt0160539,Modré z nebe,1997,103,"Comedy,Drama",6.1
tt0292996,Bug Off!,2001,84,"Comedy,Family,Fantasy",4.0
tt2194730,Kunjaliyan,2012,152,"Comedy,Drama",3.3
tt6489426,Bandidos e Balentes: Il codice non scritto,2017,101,Thriller,5.3
tt0155499,Antarnaad,1991,160,Drama,8.1
tt1487257,Hungry Hills,2009,92,"Drama,Western",7.7
tt0388301,Not This Part of the World,1994,107,Comedy,6.6
tt11193688,Huccha 2,2018,128,Action,2.9
tt5107560,Jwalantham,2016,145,Thriller,6.6
tt18184012,Love Mocktail 2,2022,140,"Drama,Romance",7.6
tt1284587,Shirin,2008,92,Drama,6.7
tt7147530,Ang guro kong 'di marunong magbasa,2017,105,Drama,7.4
tt0257245,Une jeune fille à la fenêtre,2001,90,Drama,6.8
tt0275704,The Step,1985,89,Drama,7.8
tt0035502,Valley of the Sun,1942,78,"Action,Romance,Western",5.9
tt11146570,One More Jump,2019,83,Documentary,7.2
tt0102317,Little Noises,1991,73,"Comedy,Drama",6.0
tt3855240,Clean Hands,2015,108,"Crime,Drama,Thriller",6.3
tt1715222,The Shaman & Ayahuasca: Journeys to Sacred Realms,2010,72,"Biography,Documentary",6.0
tt1853643,Why Stop Now?,2012,85,"Comedy,Drama",5.5
tt1111383,Nie ma takiego numeru,2007,89,Crime,4.3
tt2662228,10%: What Makes a Hero?,2013,88,"Adventure,Biography,Documentary",7.1
tt1878969,La carrera del animal,2011,73,Drama,5.1
tt4036334,Invisibles,2014,92,Drama,6.6
tt0042870,The Quiet Woman,1951,71,"Crime,Drama",5.9
